ANO_ATEND,ANO_CMPT,CID,CNES,MES_ATEND,MES_CMPT,ORIGEM,PERIODO_ATEND,PERIODO_CMPT,QTD,SIGITAP,TIPO,UF
2017,2017,T07,2082128,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,0,2082349,1,1,PA_APAC,2017/01-A,2017/01-C,6,306020084,PROC,SP
2017,2017,K703,2082527,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,0,2082721,1,1,PA_APAC,2017/01-A,2017/01-C,1,306020106,PROC,SP
2017,2017,0,4049020,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020106,PROC,SP
2017,2017,0,2081091,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,Z513,8923,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,0,2077647,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,R040,2082527,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,D683,2082527,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,0,2786435,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020106,PROC,SP
2017,2017,0,2069776,1,1,PA_APAC,2017/01-A,2017/01-C,11,306020106,PROC,SP
2017,2017,K701,2751623,1,1,PA_APAC,2017/01-A,2017/01-C,1,306020106,PROC,SP
2017,2017,T814,2081253,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,R040,2069776,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2017,2017,0,2077531,1,1,PA_APAC,2017/01-A,2017/01-C,3,306020106,PROC,SP
2016,2017,Z519,2025361,12,1,PA_APAC,2016/12-A,2017/01-C,2,306020106,PROC,SP
2017,2017,0,2096463,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
2017,2017,C539,2708779,1,1,PA_APAC,2017/01-A,2017/01-C,2,306020106,PROC,SP
